Date,LOCATION,PIT,Length.mm,Weight.g
2019-03-12,RRSAC1,B0489,52,1.41
2019-03-12,RRSAC1,B0490,49,1.21
2019-03-12,RRSAC1,B04A4,49,1.3
2019-03-12,RRSAC1,B04AC,53,1.65
2019-03-12,RRSAC1,B04BB,53,1.69
2019-03-12,RRSAC1,B04C3,53,1.49
2019-03-12,RRSAC1,B04C9,56,1.81
2019-03-12,RRSAC1,D6E76,52,1.33
2019-03-12,RRSAC1,D6E96,60,NA
2019-03-12,RRSAC1,D6E9A,51,1.34
2019-03-12,RRSAC1,D6EB0,56,1.81
2019-03-12,RRSAC1,D6EC5,52,1.45
2019-03-12,RRSAC2A,B03A9,53,1.79
2019-03-12,RRSAC2A,B03B1,54,1.74
2019-03-12,RRSAC2A,B03DF,55,2.23
2019-03-12,RRSAC2A,B0409,53,1.44
2019-03-12,RRSAC2A,B0413,55,1.87
2019-03-12,RRSAC2A,B0419,52,1.43
2019-03-12,RRSAC2A,B04A6,52,1.64
2019-03-12,RRSAC2A,B04AB,55,2.2
2019-03-12,RRSAC2A,D6E7F,60,2.26
2019-03-12,RRSAC2A,D6E83,57,2.19
2019-03-12,RRSAC2A,D6E8C,59,2.19
2019-03-12,RRSAC2A,D6E8E,53,1.62
2019-03-12,RRSAC2A,D6EAB,NA,NA
2019-03-12,RRSAC2A,D6EAF,53,1.7
2019-03-12,RRSAC2A,D6EB1,54,1.63
2019-03-12,RRSAC2B,B03D2,53,1.28
2019-03-12,RRSAC2B,B03D5,NA,NA
2019-03-12,RRSAC2B,B03DD,54,1.77
2019-03-12,RRSAC2B,B03F2,57,1.68
2019-03-12,RRSAC2B,B040E,53,1.58
2019-03-12,RRSAC2B,B0429,55,1.68
2019-03-12,RRSAC2B,B0446,56,1.86
2019-03-12,RRSAC2B,B0453,60,2.09
2019-03-12,RRSAC2B,B0455,55,1.9
2019-03-12,RRSAC2B,B0476,55,1.73
2019-03-12,RRSAC2B,B0494,55,1.88
2019-03-12,RRSAC2B,B04A0,54,1.82
2019-03-12,RRSAC2B,B04AD,54,1.58
2019-03-12,RRSAC2B,B04AE,59,1.91
2019-03-12,RRSAC2B,D6E78,59,2.4
2019-03-12,RRSAC2B,D6E85,NA,NA
2019-03-12,RRSAC2B,D6E9B,55,1.91
2019-03-12,RRSAC3,B03AA,45,0.98
2019-03-12,RRSAC3,B03B4,59,2.12
2019-03-12,RRSAC3,B03D1,48,1.2
2019-03-12,RRSAC3,B03D7,NA,NA
2019-03-12,RRSAC3,B03D8,54,1.61
2019-03-12,RRSAC3,B03D9,50,1.31
2019-03-12,RRSAC3,B03E8,57,1.71
2019-03-12,RRSAC3,B0406,NA,NA
2019-03-12,RRSAC3,B041D,NA,NA
2019-03-12,RRSAC3,B0423,50,1.28
2019-03-12,RRSAC3,B043D,55,1.7
2019-03-12,RRSAC3,B0448,55,1.75
2019-03-12,RRSAC3,B044A,52,1.41
2019-03-12,RRSAC3,B0456,49,1.26
2019-03-12,RRSAC3,B047E,NA,NA
2019-03-12,RRSAC3,B0481,51,1.39
2019-03-12,RRSAC3,B0488,52,1.42
2019-03-12,RRSAC3,B04B0,51,1.36
2019-03-12,RRSAC3,B04B1,45,0.96
2019-03-12,RRSAC3,B04B3,49,1.1
2019-03-12,RRSAC3,B04B7,55,1.74
2019-03-12,RRSAC3,B04C7,NA,NA
